@dataValueAttribs							
precip	0	9999	mm				
@dataSetAttribs							
missingDataVal	-9999						
dataStart	01.01.1987 00:00						
dataEnd	31.12.1990 00:00						
tres	d						
@statAttribVal							
name	Station 1	Station 2	Station 3	Station 4	Station 5	Station 6 	Station 7
29.06.1987 00:00	4.958339318	5.022859562	4.662830851	4.660897257	7.005774409	2.682797765	0.001871143
30.06.1987 00:00	4.784579973	6.160515364	4.529734208	2.639601703	2.75175636	18.7021778	24.71183268
01.07.1987 00:00	8.072452762	7.203233248	8.547460493	14.58772562	23.74802176	21.63705193	20.99777049
02.07.1987 00:00	8.618558256	6.370083767	7.555310397	11.85174328	4.012994591	4.403845901	4.879168808
03.07.1987 00:00	15.3287232	16.78193263	15.11407802	12.76651091	9.769281979	55.43804103	84.42837234
04.07.1987 00:00	43.77447636	59.90021301	42.57102553	3.768104628	1.401277885	11.06974079	0
05.07.1987 00:00	14.51534831	10.05378886	16.26813043	24.55193766	36.51396947	15.68599125	6.304676429
06.07.1987 00:00	10.83910459	10.81263798	10.9473338	6.846646338	3.545788218	2.519843275	8.63E-04
07.07.1987 00:00	29.19764547	35.89079487	27.14176725	13.19723096	8.611203956	7.211205861	8.91E-04
08.07.1987 00:00	23.89819703	30.04295384	25.17633278	11.3408215	13.96516466	13.12882469	9.487509364
09.07.1987 00:00	24.57551948	20.42968723	22.74385613	37.94853541	42.36176876	28.47233167	28.49278551
10.07.1987 00:00	23.0068749	26.91871223	21.38585422	3.363664137	7.099267169	12.96160027	11.92343596
11.07.1987 00:00	11.55163265	10.42500499	11.02969882	24.64516116	16.17034029	6.654121037	3.197270846
12.07.1987 00:00	22.98342493	27.09120095	24.57957283	7.190803185	22.54231638	17.94580379	10.29185609
13.07.1987 00:00	13.50511149	16.02161917	12.97442767	4.192223056	3.538292067	27.51883817	44.04203254
14.07.1987 00:00	16.8102944	19.47117741	18.12462824	7.706573583	6.823393944	9.116794739	6.05230851
15.07.1987 00:00	11.84541049	16.15776947	10.95506538	0.644362188	2.757415297	3.799770155	4.87E-04
16.07.1987 00:00	6.009179417	6.171709315	6.272891189	3.219946665	5.437712098	18.07082674	23.18687549
