@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
05.08.1989 00:00	100	100	100	100
06.08.1989 00:00	100	91.07273863	100	91.28411825
07.08.1989 00:00	100	97.1468972	100	100
08.08.1989 00:00	100	100	100	86.99677155
09.08.1989 00:00	100	96.18027712	100	83.71311621
10.08.1989 00:00	100	91.65642154	100	97.47318475
11.08.1989 00:00	100	87.65936463	100	86.15528292
12.08.1989 00:00	100	92.94533706	100	100
13.08.1989 00:00	100	100	100	89.62169186
14.08.1989 00:00	100	82.3068044	100	88.275832
15.08.1989 00:00	100	100	100	88.62254551
16.08.1989 00:00	100	100	100	90.20635467
17.08.1989 00:00	100	100	100	93.99673479
18.08.1989 00:00	100	95.58693948	100	94.3360599
19.08.1989 00:00	100	98.13165394	100	98.92326428
20.08.1989 00:00	100	95.02773249	100	92.93743569
21.08.1989 00:00	100	100	100	99.96438975
22.08.1989 00:00	100	92.58382847	100	88.20134884
23.08.1989 00:00	100	97.6549013	100	79.8922389
24.08.1989 00:00	100	100	100	87.38107063
25.08.1989 00:00	100	98.69050846	100	79.83583075
26.08.1989 00:00	100	100	100	82.89361779
27.08.1989 00:00	100	90.15298578	100	79.93729077
28.08.1989 00:00	100	89.24391617	100	86.16389408
29.08.1989 00:00	100	100	100	100
30.08.1989 00:00	100	100	100	91.68383893
31.08.1989 00:00	100	85.7947833	100	86.19919593
01.09.1989 00:00	100	100	100	100
02.09.1989 00:00	100	90.1357188	100	79.80146324
03.09.1989 00:00	100	95.16664121	100	94.51664154
04.09.1989 00:00	100	100	100	99.79523083
05.09.1989 00:00	100	100	100	93.56419746
06.09.1989 00:00	100	94.16283122	100	100
07.09.1989 00:00	100	100	100	100
08.09.1989 00:00	100	94.33830614	100	87.2100843
09.09.1989 00:00	100	93.22697267	100	97.56889559
10.09.1989 00:00	100	98.71957028	100	96.57805031
11.09.1989 00:00	100	89.75325947	100	84.5384868
12.09.1989 00:00	100	84.61558265	100	91.30053638
13.09.1989 00:00	100	100	100	100
14.09.1989 00:00	100	100	100	93.85341069
15.09.1989 00:00	100	100	100	93.93957327
16.09.1989 00:00	100	85.56871714	100	82.12523283
17.09.1989 00:00	100	89.57516974	100	94.24101784
18.09.1989 00:00	100	100	100	91.27832069
19.09.1989 00:00	100	100	100	99.7270616
20.09.1989 00:00	100	96.65987234	100	86.14098695
21.09.1989 00:00	100	100	100	94.0550579
22.09.1989 00:00	100	100	100	93.54841563
23.09.1989 00:00	100	89.65328466	100	96.365004
24.09.1989 00:00	100	92.0801547	100	94.50692803
25.09.1989 00:00	100	92.5545835	100	91.37137274
26.09.1989 00:00	100	95.56218972	100	84.07019943
27.09.1989 00:00	100	99.68039837	100	100
28.09.1989 00:00	100	100	100	100
29.09.1989 00:00	100	98.56362111	100	100
30.09.1989 00:00	100	92.16641546	100	85.98705137
01.10.1989 00:00	100	93.51711063	100	94.08007035
02.10.1989 00:00	100	94.70206493	100	86.22499674
03.10.1989 00:00	100	87.44907094	100	86.24933686
04.10.1989 00:00	100	83.48979188	100	90.85087644
05.10.1989 00:00	100	100	100	88.81960717
06.10.1989 00:00	100	100	100	84.46979951
07.10.1989 00:00	100	89.23998184	100	82.09276745
08.10.1989 00:00	100	86.44633986	100	87.59561533
09.10.1989 00:00	100	93.94815373	100	83.1346117
10.10.1989 00:00	100	94.51958342	100	96.36753861
11.10.1989 00:00	100	91.91378004	100	81.1659173
12.10.1989 00:00	100	93.03986127	100	95.06179011
13.10.1989 00:00	100	82.63057432	100	69.33650147
14.10.1989 00:00	100	74.14117879	100	77.36381137
15.10.1989 00:00	100	71.63360501	100	72.75817738
16.10.1989 00:00	100	71.95064064	100	73.60983968
17.10.1989 00:00	100	77.03760148	100	77.20004488
18.10.1989 00:00	100	85.86488867	100	79.92253997
19.10.1989 00:00	100	97.59074184	100	85.89756239
20.10.1989 00:00	100	91.23728566	100	84.8278462
21.10.1989 00:00	100	74.49373375	100	81.46548128
22.10.1989 00:00	77.03548144	54.22695011	100	52.59006338
23.10.1989 00:00	87.92068693	62.54468992	100	62.58823813
24.10.1989 00:00	100	79.53527085	100	68.11547007
25.10.1989 00:00	100	78.09312939	100	74.70441219
26.10.1989 00:00	100	87.18605575	100	81.29259582
27.10.1989 00:00	100	79.94730922	100	77.92923988
28.10.1989 00:00	100	82.14524686	100	71.29546316
29.10.1989 00:00	100	78.93926044	100	73.1614555
30.10.1989 00:00	100	65.55910985	100	64.85182518
31.10.1989 00:00	85.22465433	64.50681797	97.86235477	56.78730714
01.11.1989 00:00	100	77.35996151	100	76.61504985
02.11.1989 00:00	100	85.92125158	100	82.66836294
03.11.1989 00:00	100	88.23695579	100	86.59694239
04.11.1989 00:00	100	95.16231716	100	83.9015414
05.11.1989 00:00	100	94.1980389	100	79.06910083
06.11.1989 00:00	73.20953394	56.44998942	91.66195022	55.54775471
07.11.1989 00:00	100	83.34993162	100	77.18858084
08.11.1989 00:00	100	68.88659134	100	77.62069211
09.11.1989 00:00	98.54436401	71.20613769	100	61.95689596
10.11.1989 00:00	100	70.06631317	100	70.73348171
11.11.1989 00:00	100	96.11461162	100	84.27369347
12.11.1989 00:00	100	83.43237893	100	78.24623879
13.11.1989 00:00	100	82.73831192	100	77.16443521
14.11.1989 00:00	100	82.69027054	100	89.78169962
15.11.1989 00:00	100	85.63055109	100	85.45257748
16.11.1989 00:00	100	75.40379199	100	81.03906556
17.11.1989 00:00	100	81.96018908	100	78.39458885
18.11.1989 00:00	100	85.78326845	100	87.20417782
19.11.1989 00:00	100	96.91891613	100	90.15838005
20.11.1989 00:00	100	82.63464336	100	77.45717541
21.11.1989 00:00	100	98.88984456	100	94.20176919
22.11.1989 00:00	100	100	100	95.70629624
23.11.1989 00:00	100	81.86469608	100	65.05464804
24.11.1989 00:00	100	76.00412347	100	78.77875738
25.11.1989 00:00	100	79.15445539	100	65.49726403
26.11.1989 00:00	98.12970936	76.52252979	100	60.13275662
27.11.1989 00:00	100	85.7009761	100	72.79677284
28.11.1989 00:00	100	90.44374573	100	91.10006737
29.11.1989 00:00	100	83.32206767	100	73.05410533
30.11.1989 00:00	100	78.4102791	100	68.20218699
01.12.1989 00:00	94.36887009	64.04858846	100	57.98002798
02.12.1989 00:00	62.53281236	37.08560314	70.55611596	39.65320447
03.12.1989 00:00	61.52689887	41.7263307	63.66612459	38.61741832
04.12.1989 00:00	83.52390582	60.20412435	90.06260333	52.49105341
05.12.1989 00:00	94.11103753	66.59920494	97.25991276	61.64345499
06.12.1989 00:00	77.14813803	58.11001467	89.33610154	47.94524795
07.12.1989 00:00	100	92.57205365	100	75.73523187
08.12.1989 00:00	100	76.14110141	100	65.96799921
09.12.1989 00:00	97.70205166	66.51342453	100	59.53513112
10.12.1989 00:00	100	78.76850878	100	86.02351349
11.12.1989 00:00	100	100	100	97.82825289
12.12.1989 00:00	100	83.49038818	100	76.5055833
13.12.1989 00:00	100	96.48353967	100	91.11545947
14.12.1989 00:00	100	78.05273156	100	66.63793836
15.12.1989 00:00	77.30099319	54.67468084	88.22785725	54.44770644
16.12.1989 00:00	96.05408811	74.09065087	100	62.01618012
17.12.1989 00:00	100	70.30841215	100	72.53661911
18.12.1989 00:00	100	70.08050946	100	77.10400758
19.12.1989 00:00	100	93.44323441	100	75.64998363
20.12.1989 00:00	100	100	100	87.01120849
21.12.1989 00:00	100	97.59980583	100	81.18990541
22.12.1989 00:00	100	100	100	90.01401156
23.12.1989 00:00	100	100	100	99.61222627
24.12.1989 00:00	100	93.02514427	100	88.64161839
25.12.1989 00:00	100	75.01909689	100	72.50941046
26.12.1989 00:00	100	93.7837866	100	79.36580043
27.12.1989 00:00	100	77.30593171	100	78.65449882
28.12.1989 00:00	100	81.51019586	100	79.27136428
29.12.1989 00:00	100	85.67723931	100	69.96174241
30.12.1989 00:00	100	89.9779666	100	79.46182311
31.12.1989 00:00	100	81.59623285	100	77.4351902
01.01.1990 00:00	100	81.51478426	100	74.52669634
02.01.1990 00:00	100	76.20359067	100	63.27669261
03.01.1990 00:00	96.81770185	66.98486427	100	67.39949433
04.01.1990 00:00	100	71.07354224	100	69.10362312
05.01.1990 00:00	100	71.84171293	100	57.88749489
06.01.1990 00:00	100	78.03069149	100	76.53283528
07.01.1990 00:00	90.3307713	66.19724282	100	63.46968859
08.01.1990 00:00	100	79.97980371	100	69.73472357
09.01.1990 00:00	100	85.14514476	100	81.52498048
10.01.1990 00:00	100	80.82314885	100	78.17407817
11.01.1990 00:00	100	67.34864277	100	54.99395062
12.01.1990 00:00	100	67.97390667	100	74.86662741
13.01.1990 00:00	100	63.43038364	100	66.80383551
14.01.1990 00:00	100	79.51967321	100	71.65728242
15.01.1990 00:00	95.56697135	72.25141524	100	68.59046519
16.01.1990 00:00	100	72.16620269	100	61.70234255
17.01.1990 00:00	100	72.00553359	100	79.03821629
18.01.1990 00:00	100	88.17431307	100	70.94305743
19.01.1990 00:00	100	90.28364789	100	76.3663575
20.01.1990 00:00	100	79.91433834	100	76.43284237
21.01.1990 00:00	100	79.78192438	100	70.11016123
22.01.1990 00:00	100	92.57696077	100	79.22860863
23.01.1990 00:00	100	100	100	93.7255224
24.01.1990 00:00	100	94.12142665	100	87.42326218
25.01.1990 00:00	100	80.14308491	100	82.17293101
26.01.1990 00:00	100	88.41605339	100	86.06617102
27.01.1990 00:00	100	93.17148866	100	86.78729694
28.01.1990 00:00	100	100	100	95.65453735
29.01.1990 00:00	79.396601	60.49389309	91.47532806	51.14261713
30.01.1990 00:00	91.65987319	71.55191683	100	60.58265814
31.01.1990 00:00	100	75.5449444	100	68.58070919
01.02.1990 00:00	66.70426983	48.36501509	83.62819822	44.53499202
02.02.1990 00:00	100	66.95563109	100	74.61008131
03.02.1990 00:00	100	74.79635793	100	70.54426999
04.02.1990 00:00	100	90.11090424	100	91.90683
05.02.1990 00:00	100	85.69859729	100	80.68438535
06.02.1990 00:00	100	95.67814396	100	91.5173664
07.02.1990 00:00	100	90.4096925	100	86.115327
08.02.1990 00:00	100	71.68057849	100	75.65255864
09.02.1990 00:00	100	78.09774933	100	78.37980389
10.02.1990 00:00	100	88.55255218	100	98.20833363
11.02.1990 00:00	100	99.86113584	100	94.27783537
12.02.1990 00:00	100	100	100	97.84983589
13.02.1990 00:00	100	93.400964	100	100
14.02.1990 00:00	100	94.45840157	100	97.28370024
15.02.1990 00:00	100	77.13949777	100	85.59791438
16.02.1990 00:00	100	93.86203069	100	74.58701519
17.02.1990 00:00	100	69.85128985	100	75.0673881
18.02.1990 00:00	100	78.32661528	100	71.37531348
19.02.1990 00:00	100	67.67853396	100	69.07025681
20.02.1990 00:00	92.96607056	61.31192001	100	61.45651164
21.02.1990 00:00	100	70.18092274	100	58.41120015
22.02.1990 00:00	100	79.65207448	100	76.08077039
23.02.1990 00:00	100	84.62459787	100	81.0491367
24.02.1990 00:00	100	76.71220124	100	83.74978306
25.02.1990 00:00	100	95.63661559	100	83.38169517
26.02.1990 00:00	100	78.28820344	100	73.35208132
27.02.1990 00:00	100	78.42595489	100	74.82035781
28.02.1990 00:00	100	100	100	100
01.03.1990 00:00	100	66.32695749	100	69.58983652
02.03.1990 00:00	100	63.74826686	100	59.14585516
03.03.1990 00:00	100	75.15546583	100	67.99522328
04.03.1990 00:00	100	76.57467539	100	75.26306397
05.03.1990 00:00	100	67.60955302	100	63.09878773
06.03.1990 00:00	100	90.29820966	100	76.8359092
07.03.1990 00:00	100	86.11423846	100	72.28771709
08.03.1990 00:00	100	74.76746922	100	61.35536186
09.03.1990 00:00	94.15353452	73.55342752	100	59.10435913
10.03.1990 00:00	100	62.30379123	100	59.40849082
11.03.1990 00:00	96.37664284	64.56228041	100	64.15945241
12.03.1990 00:00	90.88400705	72.10361002	100	68.90738429
13.03.1990 00:00	100	65.85714958	100	64.10019281
14.03.1990 00:00	100	70.6461348	100	61.79182299
15.03.1990 00:00	91.29542418	71.42402914	100	68.84300214
16.03.1990 00:00	100	72.18398933	100	61.54482247
17.03.1990 00:00	93.82443872	68.70967637	99.96789084	65.05343266
18.03.1990 00:00	95.12277882	74.41176782	100	62.2838631
19.03.1990 00:00	95.08636376	58.76203175	100	53.688272
20.03.1990 00:00	95.20203667	63.99155973	100	62.11499826
21.03.1990 00:00	98.88831562	71.36616813	100	71.70119552
22.03.1990 00:00	96.36015616	65.26260397	100	67.43988717
23.03.1990 00:00	52.54901819	37.40049257	63.14940171	40.48516034
24.03.1990 00:00	93.35013059	71.11788926	100	61.10527934
25.03.1990 00:00	96.77201654	64.8131637	99.40208455	59.84702253
26.03.1990 00:00	100	80.33910572	100	68.32152841
27.03.1990 00:00	79.06276691	56.61270106	81.65319436	51.11715017
28.03.1990 00:00	100	73.87917313	100	72.91300314
29.03.1990 00:00	100	70.70517397	100	77.25193523
30.03.1990 00:00	100	75.40049898	100	63.99489289
31.03.1990 00:00	55.75864011	44.57046705	63.05488002	37.94775796
01.04.1990 00:00	55.02427534	40.4546878	63.79982402	38.22440843
02.04.1990 00:00	64.08299066	41.04480231	68.99035021	38.63542629
03.04.1990 00:00	89.28223549	58.83718638	100	58.58087241
04.04.1990 00:00	100	82.54586531	100	75.97884418
05.04.1990 00:00	100	76.55454207	100	72.66982581
06.04.1990 00:00	100	79.78883641	100	72.24092626
07.04.1990 00:00	100	95.8535891	100	98.19280737
08.04.1990 00:00	100	87.01641695	100	69.91751521
09.04.1990 00:00	100	84.13437957	100	66.76361528
10.04.1990 00:00	100	78.72414581	100	79.11191692
11.04.1990 00:00	100	80.4250446	100	72.48602803
12.04.1990 00:00	100	81.97476536	100	67.42725061
13.04.1990 00:00	100	82.03733358	100	74.42684193
14.04.1990 00:00	58.98507257	42.99045609	62.80174297	37.78818716
15.04.1990 00:00	53.14419029	40.56560582	69.5217977	39.35590893
16.04.1990 00:00	60.1162758	46.93428227	74.75775398	43.69717497
17.04.1990 00:00	96.18198547	57.59238045	100	61.08666948
18.04.1990 00:00	100	69.25574957	100	74.44313223
19.04.1990 00:00	86.46986042	60.86058385	100	57.06169509
20.04.1990 00:00	82.70963687	55.78748063	93.51731083	56.00685747
21.04.1990 00:00	100	67.11295251	100	64.18989712
22.04.1990 00:00	73.5324748	47.02303975	84.48704791	53.6352889
23.04.1990 00:00	100	70.47220505	100	67.84935921
24.04.1990 00:00	100	72.41222831	100	76.46318765
25.04.1990 00:00	100	86.49516609	100	84.70513105
26.04.1990 00:00	100	80.65457422	100	75.33528444
27.04.1990 00:00	100	81.66941484	100	68.2691125
28.04.1990 00:00	92.34895083	60.92967907	95.23607721	57.21132767
29.04.1990 00:00	100	86.00572428	100	71.90949666
30.04.1990 00:00	82.87337392	56.51772331	88.64098179	49.49289608
01.05.1990 00:00	97.0438286	68.83477714	97.94089645	56.68107075
02.05.1990 00:00	100	84.13974435	100	75.0869997
03.05.1990 00:00	100	94.98246538	100	85.81036186
04.05.1990 00:00	100	72.12472982	100	75.97067834
05.05.1990 00:00	100	98.15603585	100	91.0516802
06.05.1990 00:00	86.2130092	66.09222814	97.66477367	62.41882146
07.05.1990 00:00	100	81.18107863	100	66.06645579
08.05.1990 00:00	100	73.26426618	100	65.31016032
09.05.1990 00:00	100	72.75562676	100	70.12622153
10.05.1990 00:00	100	87.17133117	100	76.60601772
11.05.1990 00:00	100	88.15792264	100	79.93066215
12.05.1990 00:00	100	85.86859197	100	91.39936773
13.05.1990 00:00	100	85.70571958	100	92.12873306
14.05.1990 00:00	100	79.68272132	100	81.69819785
15.05.1990 00:00	100	90.28591911	100	96.2057564
16.05.1990 00:00	100	87.80851429	100	82.58226898
17.05.1990 00:00	100	100	100	99.43494973
18.05.1990 00:00	100	87.17228621	100	93.65667518
19.05.1990 00:00	100	100	100	87.6375578
20.05.1990 00:00	100	91.99115224	100	85.22692884
21.05.1990 00:00	100	70.26650643	100	73.05240743
22.05.1990 00:00	100	78.20172134	100	79.08587651
23.05.1990 00:00	100	84.35487175	100	91.47180605
24.05.1990 00:00	100	87.86062694	100	77.93285519
25.05.1990 00:00	100	81.18035347	100	78.05859337
26.05.1990 00:00	100	84.48166516	100	80.39214752
27.05.1990 00:00	100	92.00596197	100	87.45091071
28.05.1990 00:00	100	100	100	90.4962224
29.05.1990 00:00	100	95.47267285	100	89.88476494
30.05.1990 00:00	100	93.74003079	100	85.03335018
31.05.1990 00:00	100	88.0327665	100	82.44932692
01.06.1990 00:00	100	93.26716186	100	78.96229096
02.06.1990 00:00	100	100	100	93.30397281
03.06.1990 00:00	100	92.95901105	100	86.41906918
04.06.1990 00:00	100	89.84668689	100	91.84182408
05.06.1990 00:00	100	92.63340385	100	93.81708415
06.06.1990 00:00	100	87.74401282	100	84.37412561
07.06.1990 00:00	100	80.86232348	100	65.89681782
08.06.1990 00:00	97.90571834	73.46321821	100	62.91752931
09.06.1990 00:00	100	87.72638815	100	79.44787643
10.06.1990 00:00	100	100	100	100
11.06.1990 00:00	100	95.00113727	100	85.15802172
12.06.1990 00:00	100	84.6645568	100	79.52098755
13.06.1990 00:00	100	84.61842551	100	81.14911396
14.06.1990 00:00	100	97.54281061	100	88.67524785
15.06.1990 00:00	100	85.59158104	100	92.32588323
16.06.1990 00:00	100	100	100	97.41575858
17.06.1990 00:00	100	87.56694944	100	85.93751423
18.06.1990 00:00	100	100	100	88.40009369
19.06.1990 00:00	100	100	100	84.05766067
20.06.1990 00:00	100	100	100	97.90645514
21.06.1990 00:00	100	88.06727227	100	98.82821603
22.06.1990 00:00	100	99.62028607	100	94.89459121
23.06.1990 00:00	100	100	100	94.51045346
24.06.1990 00:00	100	100	100	91.99429205
25.06.1990 00:00	100	100	100	100
26.06.1990 00:00	100	95.11669452	100	80.68702463
27.06.1990 00:00	100	92.73307515	100	90.30929177
28.06.1990 00:00	100	93.23283877	100	99.67171595
29.06.1990 00:00	100	97.87735741	100	93.21002086
30.06.1990 00:00	100	100	100	88.11715381
01.07.1990 00:00	100	99.10159121	100	78.21408463
02.07.1990 00:00	100	95.10268591	100	80.19305834
03.07.1990 00:00	100	91.61923943	100	85.65943455
04.07.1990 00:00	100	99.20781403	100	92.72721843
05.07.1990 00:00	100	100	100	99.45421685
06.07.1990 00:00	100	94.75488224	100	95.51669789
07.07.1990 00:00	100	100	100	99.05991102
08.07.1990 00:00	100	100	100	94.17107456
09.07.1990 00:00	100	100	100	100
10.07.1990 00:00	100	100	100	100
11.07.1990 00:00	100	97.91039474	100	100
12.07.1990 00:00	100	95.78855654	100	91.80648703
13.07.1990 00:00	100	100	100	83.99828585
14.07.1990 00:00	100	99.93873584	100	94.68195131
15.07.1990 00:00	100	92.46948689	100	95.4819002
16.07.1990 00:00	100	90.64142055	100	87.12680607
17.07.1990 00:00	100	97.88679965	100	100
18.07.1990 00:00	100	95.60593171	100	100
19.07.1990 00:00	100	100	100	98.45860135
20.07.1990 00:00	100	95.53520198	100	91.92711078
21.07.1990 00:00	100	97.39638314	100	82.22467052
22.07.1990 00:00	100	94.49743298	100	91.22152318
23.07.1990 00:00	100	88.51592732	100	85.81761088
24.07.1990 00:00	100	94.13155033	100	96.46094046
25.07.1990 00:00	100	100	100	96.10495438
26.07.1990 00:00	100	100	100	100
27.07.1990 00:00	100	100	100	100
28.07.1990 00:00	100	100	100	100
29.07.1990 00:00	100	100	100	93.90535518
30.07.1990 00:00	100	87.61774142	100	86.0007421
31.07.1990 00:00	100	100	100	96.53525284
01.08.1990 00:00	100	98.24119951	100	97.35177656
02.08.1990 00:00	100	96.72554666	100	82.90697878
03.08.1990 00:00	100	84.23359699	100	79.84656699
04.08.1990 00:00	100	100	100	92.02712817
05.08.1990 00:00	100	93.03330642	100	94.88265346
06.08.1990 00:00	100	86.88785698	100	85.16476415
07.08.1990 00:00	100	91.61719692	100	82.34730648
08.08.1990 00:00	100	90.37929901	100	94.39456726
09.08.1990 00:00	100	86.29724625	100	89.65531056
10.08.1990 00:00	100	100	100	100
11.08.1990 00:00	100	100	100	94.25632259
12.08.1990 00:00	100	100	100	100
13.08.1990 00:00	100	100	100	99.94564699
14.08.1990 00:00	100	93.11376076	100	100
15.08.1990 00:00	100	100	100	96.31384628
16.08.1990 00:00	100	92.32902711	100	92.1281123
17.08.1990 00:00	100	98.67404105	100	95.99876149
18.08.1990 00:00	100	98.69576468	100	95.19083081
19.08.1990 00:00	100	84.9790073	100	84.56630239
20.08.1990 00:00	100	88.92788359	100	80.29192945
21.08.1990 00:00	100	84.72186077	100	86.69336279
22.08.1990 00:00	100	96.54101123	100	85.70109938
23.08.1990 00:00	100	100	100	95.55163323
24.08.1990 00:00	100	97.93934324	100	95.93663836
25.08.1990 00:00	100	100	100	98.83978624
26.08.1990 00:00	100	100	100	96.89032954
27.08.1990 00:00	100	100	100	100
28.08.1990 00:00	100	89.17475674	100	97.04899316
29.08.1990 00:00	100	83.76632773	100	83.89065414
30.08.1990 00:00	100	84.10579796	100	87.56601732
31.08.1990 00:00	100	85.48015881	100	93.97860581
01.09.1990 00:00	100	76.60023121	100	84.74780715
02.09.1990 00:00	100	80.51299528	100	77.82152416
03.09.1990 00:00	100	99.02356016	100	84.04312616
04.09.1990 00:00	100	94.06904187	100	100
05.09.1990 00:00	100	92.13844252	100	94.69287017
06.09.1990 00:00	100	100	100	89.12635947
07.09.1990 00:00	100	90.60076448	100	89.371984
08.09.1990 00:00	100	97.61921652	100	100
09.09.1990 00:00	100	100	100	98.4929937
10.09.1990 00:00	100	100	100	99.77128276
11.09.1990 00:00	100	100	100	89.70662821
12.09.1990 00:00	100	97.63486896	100	100
13.09.1990 00:00	100	97.97305575	100	99.59789766
14.09.1990 00:00	100	93.07034709	100	100
15.09.1990 00:00	100	95.41333969	100	100
16.09.1990 00:00	100	91.72934487	100	88.83309997
17.09.1990 00:00	100	97.19904551	100	88.81171415
18.09.1990 00:00	100	100	100	87.7831495
19.09.1990 00:00	100	89.05954018	100	85.65049804
20.09.1990 00:00	100	94.73404962	100	88.58757908
21.09.1990 00:00	100	92.70345994	100	100
22.09.1990 00:00	100	100	100	100
23.09.1990 00:00	100	100	100	82.47724671
24.09.1990 00:00	100	94.07736478	100	86.75053756
25.09.1990 00:00	100	100	100	92.24575363
26.09.1990 00:00	100	100	100	100
27.09.1990 00:00	100	95.9769115	100	86.17151828
28.09.1990 00:00	100	100	100	100
29.09.1990 00:00	100	100	100	91.21788707
30.09.1990 00:00	100	97.77746647	100	83.97342382
01.10.1990 00:00	100	100	100	81.89407945
02.10.1990 00:00	100	100	100	84.09194403
03.10.1990 00:00	100	93.89081217	100	100
04.10.1990 00:00	100	100	100	100
05.10.1990 00:00	100	91.96909563	100	86.31447075
06.10.1990 00:00	100	98.71213792	100	98.67712976
07.10.1990 00:00	100	88.78405622	100	98.05240928
08.10.1990 00:00	100	100	100	96.07343107
09.10.1990 00:00	100	100	100	100
10.10.1990 00:00	100	100	100	92.60230802
11.10.1990 00:00	100	88.81288008	100	85.28568954
12.10.1990 00:00	100	90.97035983	100	85.61453957
13.10.1990 00:00	100	100	100	94.74791038
14.10.1990 00:00	100	100	100	100
15.10.1990 00:00	100	93.06843875	100	94.2485497
16.10.1990 00:00	100	79.86064059	100	81.93017093
17.10.1990 00:00	100	95.09060532	100	81.82662128
18.10.1990 00:00	100	95.63218854	100	84.9579842
19.10.1990 00:00	100	83.15580264	100	80.54966292
20.10.1990 00:00	100	74.40533235	100	69.23136029
21.10.1990 00:00	100	89.90108267	100	79.15154233
22.10.1990 00:00	100	74.06220824	100	74.1163351
23.10.1990 00:00	100	87.25109356	100	71.35324623
24.10.1990 00:00	100	85.90989679	100	79.40171121
25.10.1990 00:00	100	85.86145999	100	82.08117416
26.10.1990 00:00	100	75.71400565	100	70.11015872
27.10.1990 00:00	100	85.04239776	100	69.10163592
28.10.1990 00:00	95.24282517	73.43364603	100	69.06365288
29.10.1990 00:00	100	72.72859853	100	67.5770486
30.10.1990 00:00	100	60.98176245	100	66.78769511
31.10.1990 00:00	100	73.58631863	100	67.92269115
01.11.1990 00:00	81.68058206	66.22940796	100	60.35025544
02.11.1990 00:00	85.28385623	62.23428573	100	55.71894507
03.11.1990 00:00	80.83107671	50.49148793	91.55553239	56.00839287
04.11.1990 00:00	96.02356221	65.17513226	100	65.32796321
05.11.1990 00:00	87.57976021	69.57106251	100	61.58794217
06.11.1990 00:00	100	81.23156688	100	76.87090018
07.11.1990 00:00	100	75.12716134	100	74.88919668
08.11.1990 00:00	100	93.65486668	100	86.58802488
09.11.1990 00:00	100	70.79582672	100	69.15425938
10.11.1990 00:00	75.57538337	60.78506346	96.89135482	52.16572348
11.11.1990 00:00	92.23657607	67.88628542	100	72.01161585
12.11.1990 00:00	89.24695941	65.40122581	100	64.62230172
13.11.1990 00:00	89.8699743	64.97990628	94.07934425	60.1366073
14.11.1990 00:00	96.36188039	64.63572909	92.99685665	58.74287259
15.11.1990 00:00	54.83039979	38.452059	60.83469655	34.4328754
16.11.1990 00:00	73.66769889	52.46988215	95.61661595	49.60957176
17.11.1990 00:00	100	81.28073897	100	65.22271137
18.11.1990 00:00	100	80.25356916	100	71.30796336
19.11.1990 00:00	100	74.2445232	100	74.13795519
20.11.1990 00:00	87.35630791	61.82205139	100	57.51823674
21.11.1990 00:00	87.46143071	61.91129564	97.19084188	66.79743011
22.11.1990 00:00	89.23565156	58.25969831	100	61.58617447
23.11.1990 00:00	99.21949894	65.7408648	100	70.39710291
24.11.1990 00:00	100	74.75969011	100	81.32516759
25.11.1990 00:00	100	77.18381962	100	74.47510931
26.11.1990 00:00	100	79.70316438	100	73.43540783
27.11.1990 00:00	90.12122965	56.98749523	100	56.62426083
28.11.1990 00:00	92.75185349	61.16174733	100	57.01764477
29.11.1990 00:00	100	79.46750908	100	73.75615134
30.11.1990 00:00	100	79.73546264	100	69.76335696
01.12.1990 00:00	100	86.30205488	100	77.08499584
02.12.1990 00:00	100	93.29205389	100	88.65444232
03.12.1990 00:00	100	100	100	96.0218032
04.12.1990 00:00	100	89.21737761	100	78.46876375
05.12.1990 00:00	100	76.21173127	100	72.93873712
06.12.1990 00:00	100	60.93422657	100	60.00998869
07.12.1990 00:00	100	67.57230096	100	65.75121008
08.12.1990 00:00	97.75085693	75.51238371	100	73.70477984
09.12.1990 00:00	97.43118395	72.11091759	100	65.73903509
10.12.1990 00:00	100	68.66954291	100	68.91066168
11.12.1990 00:00	84.79300126	61.88845879	95.75838011	49.82680716
12.12.1990 00:00	87.12063353	59.25896673	100	58.83118811
13.12.1990 00:00	100	77.97739059	100	77.27772679
14.12.1990 00:00	100	77.99127842	100	70.76935665
15.12.1990 00:00	86.7265887	60.08183464	99.68213609	59.58418167
16.12.1990 00:00	72.87876795	45.06008493	77.83625009	42.89040411
17.12.1990 00:00	54.36189509	45.06746985	62.39805104	39.20429345
18.12.1990 00:00	83.52898562	59.60306259	86.86881217	54.06009329
19.12.1990 00:00	100	62.7859854	100	66.25367381
20.12.1990 00:00	96.68744626	57.13788191	100	58.78615339
21.12.1990 00:00	80.07088316	55.55605611	95.25242123	52.66200195
22.12.1990 00:00	100	75.76570235	100	68.08508663
23.12.1990 00:00	97.73016192	60.82137952	100	60.40309104
24.12.1990 00:00	100	67.02350276	100	67.34933807
25.12.1990 00:00	100	78.78157984	100	76.52192417
26.12.1990 00:00	100	76.96065757	100	67.9786066
27.12.1990 00:00	100	88.9795245	100	81.4351884
28.12.1990 00:00	100	97.55623834	100	94.40531919
29.12.1990 00:00	100	97.70039087	100	91.80007954
