@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
06.06.1987 00:00	100	90.6399876	100	94.99594255
07.06.1987 00:00	100	83.65540615	100	78.78081367
08.06.1987 00:00	100	92.73285079	100	81.31646475
09.06.1987 00:00	100	82.90262455	100	80.15828075
10.06.1987 00:00	100	85.59682741	100	93.20130073
11.06.1987 00:00	100	89.94758095	100	86.7319202
12.06.1987 00:00	100	88.01524331	100	83.3852342
13.06.1987 00:00	99.82853443	68.31293927	100	63.47779466
14.06.1987 00:00	99.62074529	63.36973519	100	66.73903319
15.06.1987 00:00	100	87.15213079	100	87.68898421
16.06.1987 00:00	100	94.99613287	100	84.92813734
17.06.1987 00:00	100	94.98272774	100	93.09711612
18.06.1987 00:00	100	100	100	87.52024794
19.06.1987 00:00	100	85.35193113	100	71.17801905
20.06.1987 00:00	100	100	100	87.51924987
21.06.1987 00:00	100	96.98073077	100	100
22.06.1987 00:00	100	100	100	95.74649953
23.06.1987 00:00	100	96.97088733	100	100
24.06.1987 00:00	100	100	100	88.95485606
25.06.1987 00:00	100	96.45364493	100	85.11909395
26.06.1987 00:00	100	93.94849809	100	80.86255998
27.06.1987 00:00	100	100	100	91.32656673
28.06.1987 00:00	100	91.95762713	100	86.16940452
29.06.1987 00:00	100	95.56662986	100	87.69731989
30.06.1987 00:00	100	100	100	97.04515734
01.07.1987 00:00	100	100	100	100
02.07.1987 00:00	100	88.54784919	100	94.9685325
03.07.1987 00:00	100	100	100	100
04.07.1987 00:00	100	99.25019634	100	100
05.07.1987 00:00	100	99.46530508	100	91.81115336
06.07.1987 00:00	100	100	100	97.68991933
07.07.1987 00:00	100	100	100	100
08.07.1987 00:00	100	98.32842356	100	91.02408785
09.07.1987 00:00	100	100	100	86.03159345
10.07.1987 00:00	100	100	100	94.06412292
11.07.1987 00:00	100	88.46559939	100	90.60261604
12.07.1987 00:00	100	100	100	100
13.07.1987 00:00	100	95.46511084	100	90.45658662
14.07.1987 00:00	100	100	100	93.97055556
15.07.1987 00:00	100	93.06926235	100	96.85248501
16.07.1987 00:00	100	100	100	95.60307174
17.07.1987 00:00	100	100	100	91.02395255
18.07.1987 00:00	100	92.4820984	100	91.7263617
19.07.1987 00:00	100	97.77980414	100	89.60509936
20.07.1987 00:00	100	100	100	92.03135438
21.07.1987 00:00	100	100	100	100
22.07.1987 00:00	100	100	100	100
23.07.1987 00:00	100	96.77417075	100	100
24.07.1987 00:00	100	100	100	100
25.07.1987 00:00	100	97.92329309	100	100
26.07.1987 00:00	100	100	100	95.81773182
27.07.1987 00:00	100	100	100	97.26427455
28.07.1987 00:00	100	100	100	97.20518029
29.07.1987 00:00	100	100	100	99.00053054
30.07.1987 00:00	100	98.56751921	100	98.16486279
31.07.1987 00:00	100	98.9680918	100	100
01.08.1987 00:00	100	97.22305717	100	100
02.08.1987 00:00	100	100	100	100
03.08.1987 00:00	100	100	100	96.85564661
04.08.1987 00:00	100	100	100	97.83552773
05.08.1987 00:00	100	97.76412019	100	85.48880028
06.08.1987 00:00	100	100	100	96.44598367
07.08.1987 00:00	100	100	100	89.4182726
08.08.1987 00:00	100	100	100	100
09.08.1987 00:00	100	100	100	97.92140822
10.08.1987 00:00	100	100	100	100
11.08.1987 00:00	100	100	100	100
12.08.1987 00:00	100	100	100	99.64429737
13.08.1987 00:00	100	100	100	100
14.08.1987 00:00	100	87.83566099	100	97.41162513
15.08.1987 00:00	100	86.46505464	100	94.69967291
16.08.1987 00:00	100	100	100	88.66070151
17.08.1987 00:00	100	100	100	100
18.08.1987 00:00	100	85.43392951	100	85.68592818
19.08.1987 00:00	100	84.42305653	100	79.28583826
20.08.1987 00:00	100	89.93901666	100	86.20080416
21.08.1987 00:00	100	95.35723691	100	96.92469907
22.08.1987 00:00	100	93.12420319	100	90.05276055
23.08.1987 00:00	100	91.53696108	100	84.28241044
24.08.1987 00:00	100	95.84670309	100	89.59123162
25.08.1987 00:00	100	86.98708726	100	81.94290787
26.08.1987 00:00	100	98.12620875	100	93.35350581
27.08.1987 00:00	100	94.78618721	100	100
28.08.1987 00:00	100	100	100	96.0889908
29.08.1987 00:00	100	100	100	89.00920409
30.08.1987 00:00	100	97.77784422	100	88.53663656
31.08.1987 00:00	100	100	100	100
01.09.1987 00:00	100	96.15774049	100	100
02.09.1987 00:00	100	100	100	87.3882558
03.09.1987 00:00	100	92.01675551	100	94.86832344
04.09.1987 00:00	100	98.89094878	100	97.15791803
05.09.1987 00:00	100	100	100	100
06.09.1987 00:00	100	100	100	96.63919472
07.09.1987 00:00	100	100	100	100
08.09.1987 00:00	100	92.61491227	100	90.07374055
09.09.1987 00:00	100	88.18177142	100	87.2983475
10.09.1987 00:00	100	98.73756887	100	92.70678391
11.09.1987 00:00	100	100	100	90.97280529
12.09.1987 00:00	100	100	100	89.87963755
13.09.1987 00:00	100	88.95655503	100	97.93090574
14.09.1987 00:00	100	100	100	92.55252282
15.09.1987 00:00	100	92.44974228	100	92.87745516
16.09.1987 00:00	100	100	100	98.08768661
17.09.1987 00:00	100	82.29592755	100	83.20814638
18.09.1987 00:00	100	89.66994573	100	85.47411778
19.09.1987 00:00	100	95.55138811	100	100
20.09.1987 00:00	100	100	100	94.25188803
21.09.1987 00:00	100	90.92951341	100	98.3904387
22.09.1987 00:00	100	100	100	100
23.09.1987 00:00	100	100	100	97.78673668
24.09.1987 00:00	100	97.84179033	100	91.28269313
